job_pref,last_yr_income,expected_earn,reasons_to_code,months_programming,bootcamp_attend,age,gender
work for a medium-sized company,27500,64000,To change careers,4,0,26,Male
work for a medium-sized company,62000,40000,To change careers,6,0,35,Female
work for a startup,30000,70000,To change careers,9,0,37,Male
work for a startup,16000,22000,To change careers,12,0,33,Male
work for a multinational corporation,4800,50000,To succeed in current career,10,1,27,Male
work for a startup,4000,55000,To change careers,6,0,26,Male
work for a nonprofit,3000,37000,To change careers,42,0,35,Female
work for a medium-sized company,30000,75000,To change careers,9,0,35,Male
work for a startup,68000,90000,To change careers,24,0,43,Male
work for a startup,10000,65000,To start a business or to freelance,6,0,32,Female
work for a medium-sized company,55000,50000,To change careers,36,0,27,Male
work for a multinational corporation,39000,50000,To change careers,24,0,46,Female
work for a medium-sized company,16000,36000,To change careers,36,0,29,Male
work for a medium-sized company,56000,50000,To change careers,18,0,33,Male
work for a nonprofit,95000,75000,To change careers,12,0,54,Male
work for a multinational corporation,36000,50000,To change careers,24,0,35,Male
work for a medium-sized company,40000,35000,To change careers,24,0,31,Male
work for a medium-sized company,42000,60000,To change careers,6,0,30,Male
work for a medium-sized company,48000,75000,To change careers,48,0,38,Male
work for a multinational corporation,40000,55000,To succeed in current career,6,1,29,Male
work for a multinational corporation,40000,65000,To change careers,5,0,33,Male
work for a startup,51000,25000,To change careers,12,0,24,Male
work for a startup,5000,70000,To change careers,4,1,23,Male
work for a medium-sized company,5000,55000,To succeed in current career,36,0,21,Female
work for a startup,49000,50000,To change careers,4,1,36,Male
work for a multinational corporation,41360,45000,To change careers,9,0,35,Male
work for a multinational corporation,52000,60000,To change careers,12,0,44,Male
work for a medium-sized company,26000,28000,To change careers,7,0,25,Male
work for a startup,96000,70000,To start a business or to freelance,2,0,46,Male
work for a startup,22000,80000,To change careers,1,0,27,Male
work for a medium-sized company,16000,2500,To start a business or to freelance,56,0,40,Male
work for a medium-sized company,80000,50000,As a hobby,12,0,32,Female
work for a medium-sized company,13000,60000,To start a business or to freelance,1,0,26,Female
work for a startup,1416,440,To change careers,1,0,25,Female
work for a startup,10000,50000,To succeed in current career,5,0,25,Male
work for a startup,30000,30000,To change careers,1,0,41,Male
work for a medium-sized company,40000,40000,To change careers,8,0,31,Male
work for a startup,1500,1000,To start a business or to freelance,30,0,20,Male
work for a medium-sized company,75000,45000,To change careers,4,0,32,Male
work for a multinational corporation,57000,45000,To change careers,1,0,47,Female
work for a medium-sized company,36000,75000,To change careers,2,0,38,Female
work for a medium-sized company,45000,45000,To change careers,3,0,48,Male
work for a startup,750,1000,To start a business or to freelance,0,0,25,Male
work for a multinational corporation,17000,60000,To change careers,1,0,19,Male
work for a nonprofit,120000,80000,As a hobby,24,0,37,Male
work for a medium-sized company,6500,25000,To change careers,4,0,54,Female
work for a medium-sized company,20000,50000,As a hobby,3,0,26,Male
work for a multinational corporation,83000,90000,To change careers,1,0,43,Male
work for a medium-sized company,50000,70000,To change careers,5,0,31,Male
work for a medium-sized company,25000,45000,To change careers,7,0,27,Male
work for a startup,30000,50000,To change careers,2,0,36,Male
work for a medium-sized company,67000,75000,To succeed in current career,2,0,24,Male
work for a medium-sized company,6000,12000,To change careers,3,0,29,Male
work for a medium-sized company,50000,40000,To change careers,5,0,27,Male
work for a startup,120000,12000,To succeed in current career,6,0,33,Female
work for a medium-sized company,25000,15000,As a hobby,1,0,34,Female
work for a startup,10000,80000,To create art or entertainment,16,0,20,Male
work for a medium-sized company,112000,110000,To succeed in current career,6,0,34,Male
work for a nonprofit,10000,75000,To start a business or to freelance,1,0,44,Female
work for a multinational corporation,200000,35000,To change careers,2,0,45,Male
work for a medium-sized company,38000,65000,To change careers,36,0,28,Male
work for a medium-sized company,120000,90000,As a hobby,3,0,48,Male
work for a nonprofit,20000,60000,To succeed in current career,2,0,33,Male
work for a medium-sized company,40000,60000,To succeed in current career,0,0,24,Male
work for a medium-sized company,5000,10000,As a hobby,12,0,34,Male
work for a medium-sized company,32000,40000,To change careers,7,0,23,Male
work for a medium-sized company,300,300,To change careers,3,0,27,Male
work for a medium-sized company,14000,50000,To change careers,12,0,22,Male
work for a startup,1000,25000,To change careers,0,0,30,Male
work for a multinational corporation,0,2000,As a hobby,1,0,27,Female
work for a startup,500,10000,To meet school requirements,40,0,23,Male
work for a startup,0,11000,To start a business or to freelance,6,0,19,Male
work for a medium-sized company,0,40000,To succeed in current career,12,0,27,Male
work for a medium-sized company,33000,50000,To change careers,24,0,31,Male
work for a medium-sized company,30000,65000,To change careers,3,0,26,Female
work for a medium-sized company,50000,40000,To succeed in current career,5,0,35,Male
work for a multinational corporation,25000,35000,To change careers,12,0,32,Male
work for a startup,1500,40000,To change careers,24,1,25,Male
work for a medium-sized company,1500,4000,To change careers,15,0,27,Male
work for a medium-sized company,40000,50000,To change careers,3,0,27,Male
work for a multinational corporation,22000,28000,To change careers,4,0,30,Male
work for a medium-sized company,6000,12000,To change careers,6,0,24,Male
work for a startup,10000,36000,To change careers,1,0,43,Male
work for a startup,70000,60000,To change careers,2,0,28,Male
work for a startup,51000,50000,To succeed in current career,12,0,26,Male
work for a medium-sized company,8000,800,To change careers,1,0,32,Male
work for a multinational corporation,1700,4200,To succeed in current career,9,0,31,Male
work for a medium-sized company,120000,75000,To change careers,1,0,43,Male
work for a medium-sized company,42000,50000,To succeed in current career,0,0,31,Male
work for a multinational corporation,43000,80000,To change careers,4,0,41,Male
work for a medium-sized company,3000,300,To change careers,1,0,27,Female
work for a multinational corporation,1500,50000,To change careers,9,0,35,Female
work for a multinational corporation,12000,1000,To create art or entertainment,3,0,30,Male
work for a medium-sized company,4000,15000,To succeed in current career,12,0,26,Male
work for a multinational corporation,3600,4800,To change careers,5,0,21,Male
work for a medium-sized company,7000,1000,To change careers,24,0,32,Male
work for a medium-sized company,25000,40000,To change careers,12,0,30,Male
work for a multinational corporation,50000,20000,To start a business or to freelance,1,0,33,Male
