"","X1","track_id","track_name","track_artist","track_popularity","track_album_id","track_album_name","track_album_release_date","playlist_name","playlist_id","playlist_genre","playlist_subgenre","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","duration_ms"
"1",31784,"0zAJB1e7CSOcYyFuF1Ey8O","Guitar Track","Sander Van Doorn & Firebeatz",0,"0M6d1QhZHT9hqmGwoyBU1A","Guitar Track","2014-04-07","2011-2014 House","53Ga3Xt9fumdJfhNNSBvzU","edm","progressive electro house",0.564,0.883,7,-6.325,1,0.0435,0.00128,0.298,0.163,0.239,127.992,269978
"2",4090,"6kF2DYkORE9d17oPFomMPJ","Paris","Magic Man",43,"6LFFAA4z6BrTDFVBxnKKjB","Before the Waves","2013","The Sound of Indie Poptimism","7nHgmv7uyIA1KHj6qTttjH","pop","indie poptimism",0.472,0.881,2,-5.252,1,0.0524,0.0876,0,0.0698,0.502,178.858,232747
"3",28351,"7ANnnmkj7NgmfZbO2hbPAB","Ox","SWACQ",44,"2VbBxGjpQFK5wx2LTrdZUa","Ox","2019-07-03","Big Room EDM","3S03NWbWkrR1e7DPH9rf9Z","edm","big room",0.69,0.969,8,-3.757,0,0.055,0.00257,0.235,0.104,0.373,129.986,175385
"4",17609,"1CaBwYdWhxUeE4j3w0WqbL","Primer Avión","Matisse",76,"0ahu7dLUSPRWmrypXuKWPH","Primer Avión","2019-10-25","Latin Pop VIP","37i9dQZF1DX1QnNyJOBQBv","latin","latin pop",0.638,0.59,0,-6.203,1,0.232,0.184,3.39e-06,0.139,0.449,165.97,183362
"5",18025,"5pqfPw0Pdm4U31Ys0rSPis","Pan y Mantequilla","Efecto Pasillo",0,"4g1r0ZPz3wmnAZgyGa5dlx","Pan y Mantequilla","2012-05-30","Latin Pop antiguo","4BmnnqWEQAamNoVjtjrQJP","latin","latin pop",0.531,0.829,10,-5.034,1,0.0742,0.238,0,0.0808,0.901,199.905,200807
"6",858,"5X54DpGquhkONi2RbkUvsH","I just need U. - Tide Electric Remix","TobyMac",41,"6HbrhmZ9osGyiKjUFDxQGJ","The St. Nemele Collab Sessions","2019-08-23","Christian Dance Party","37i9dQZF1DWUUPO0Sbx2CM","pop","dance pop",0.731,0.661,5,-6.278,0,0.0364,0.228,0.00521,0.105,0.397,113.028,207493
"7",994,"7yaMJeDKiDCGC35LrP6EYU","Love Me - Felix Cartal's Chill Mix","Felix Cartal",58,"3D4DNUNdCascgr0VRYUib9","Love Me (Remixes)","2019-05-03","Pop Dance Hits","7eERKCkgNKCCx5GYdeMIZf","pop","dance pop",0.651,0.806,8,-3.458,1,0.0532,0.0235,0.256,0.104,0.21,121.054,221901
"8",2393,"5jE48hhRu8E6zBDPRSkEq7","All About That Bass","Meghan Trainor",70,"5W98Ab4VvQEuFEE4TIe5fE","Title (Deluxe)","2015-01-09","Post-teen pop","2KyjkYsSsC1UR75b0m98vd","pop","post-teen pop",0.807,0.887,9,-3.726,1,0.0503,0.0573,2.87e-06,0.124,0.961,134.052,187920
"9",32242,"1uL4Nj0JRsIt0EibpO4Zx1","Children Of The Wild (feat. Mako)","Steve Angello",0,"1gIO5DMUJCLaYlXgD6kKTD","Children Of The Wild (feat. Mako)","2015-06-10","Electrónica, Progressive House, Electro House y más 🎧","0o5gKmuET7F3lQnpFxvPO8","edm","progressive electro house",0.524,0.908,6,-4.254,0,0.0675,0.00258,0,0.172,0.15,127.995,251450
"10",23992,"5or6XO2zZuiMS4QuoGi8d8","Rain Dance","Oddisee",29,"2dEkjiUBO6Z2aeolcJ7sCy","The Iceberg","2017-02-24","Smooth Hip Hop","7ozFIvz1bE1HPgQTUl5qfT","r&b","hip pop",0.684,0.663,1,-7.105,1,0.296,0.0432,0,0.112,0.566,93.803,232340
"11",29779,"6MUZSRiBO5mpq5qQkFgAgz","Mr. Navigator","Armin van Buuren",62,"7j2CtumDjqj5nve12AmTjy","Mr. Navigator","2019-09-13","EDM 2019","1T0ed6Mg0QIruHvcoWWIKy","edm","pop edm",0.759,0.948,1,-5.465,1,0.114,0.0212,0.336,0.366,0.181,134.085,152239
"12",23152,"57vxBYXtHMk6H1aD29V7PU","Heartless","The Weeknd",93,"7vRcickwa6GCfY1qKKe4lK","Heartless","2019-11-27","Charts 2020 🔥Top 2020🔥Hits 2020🔥Summer 2020🔥Pop 2020🔥Popular Music🔥Clean Pop 2020🔥Sing Alongs","3xMQTDLOIGvj3lWH5e5x6F","r&b","hip pop",0.531,0.75,10,-5.831,0,0.111,0.00632,7.6e-05,0.117,0.198,169.954,200080
"13",19934,"4kOy2SbIbkqI55aiAVoe6r","Don't Turn Your Love Away","Ballin Entertainment",0,"5L1xcowSxwzFUSJzvyMp48","Ultimate Freestyle Mega Mix","2008-04-20","Latin Hip Hop/Freestyle","2MYEUjX0YAI9dxrBDzoCK7","latin","latin hip hop",0.68,0.688,0,-13.747,0,0.0335,0.0142,1.68e-06,0.343,0.903,127.98,142994
