"year","sector","exports"
2002,"Agriculture_Forestry_Fishing",175
2003,"Agriculture_Forestry_Fishing",150
2004,"Agriculture_Forestry_Fishing",205
2005,"Agriculture_Forestry_Fishing",220
2006,"Agriculture_Forestry_Fishing",185
2007,"Agriculture_Forestry_Fishing",180
2008,"Agriculture_Forestry_Fishing",200
2009,"Agriculture_Forestry_Fishing",275
2010,"Agriculture_Forestry_Fishing",255
2011,"Agriculture_Forestry_Fishing",290
2012,"Agriculture_Forestry_Fishing",280
2013,"Agriculture_Forestry_Fishing",265
2014,"Agriculture_Forestry_Fishing",370
2015,"Agriculture_Forestry_Fishing",360
2016,"Agriculture_Forestry_Fishing",385
2017,"Agriculture_Forestry_Fishing",495
2002,"Mining_Quarrying",430
2003,"Mining_Quarrying",385
2004,"Mining_Quarrying",460
2005,"Mining_Quarrying",515
2006,"Mining_Quarrying",485
2007,"Mining_Quarrying",700
2008,"Mining_Quarrying",635
2009,"Mining_Quarrying",845
2010,"Mining_Quarrying",1385
2011,"Mining_Quarrying",1730
2012,"Mining_Quarrying",1590
2013,"Mining_Quarrying",1655
2014,"Mining_Quarrying",1995
2015,"Mining_Quarrying",2125
2016,"Mining_Quarrying",1870
2017,"Mining_Quarrying",1940
2002,"Manufacturing",14860
2003,"Manufacturing",13795
2004,"Manufacturing",12755
2005,"Manufacturing",11950
2006,"Manufacturing",12135
2007,"Manufacturing",12735
2008,"Manufacturing",13710
2009,"Manufacturing",13055
2010,"Manufacturing",13810
2011,"Manufacturing",15580
2012,"Manufacturing",15660
2013,"Manufacturing",16220
2014,"Manufacturing",14910
2015,"Manufacturing",15920
2016,"Manufacturing",15965
2017,"Manufacturing",17610
2002,"Utilities",95
2003,"Utilities",70
2004,"Utilities",75
2005,"Utilities",95
2006,"Utilities",115
2007,"Utilities",130
2008,"Utilities",185
2009,"Utilities",260
2010,"Utilities",235
2011,"Utilities",285
2012,"Utilities",360
2013,"Utilities",330
2014,"Utilities",335
2015,"Utilities",285
2016,"Utilities",260
2017,"Utilities",245
2002,"Construction",85
2003,"Construction",265
2004,"Construction",180
2005,"Construction",230
2006,"Construction",180
2007,"Construction",155
2008,"Construction",185
2009,"Construction",150
2010,"Construction",115
2011,"Construction",95
2012,"Construction",90
2013,"Construction",105
2014,"Construction",140
2015,"Construction",110
2016,"Construction",140
2017,"Construction",140
2002,"Services",4850
2003,"Services",4890
2004,"Services",5360
2005,"Services",5585
2006,"Services",6400
2007,"Services",6685
2008,"Services",7545
2009,"Services",8105
2010,"Services",8305
2011,"Services",9215
2012,"Services",9825
2013,"Services",10640
2014,"Services",11155
2015,"Services",11335
2016,"Services",11935
2017,"Services",12010
