"year","month","max_temp"
1910,"jan",4.1
1911,"jan",5.7
1912,"jan",4.3
1913,"jan",4.4
1914,"jan",4.8
1915,"jan",4.2
1916,"jan",7.8
1917,"jan",2.5
1918,"jan",4
1919,"jan",4.1
1920,"jan",5
1921,"jan",6.8
1922,"jan",4.1
1923,"jan",7.1
1924,"jan",5.4
1925,"jan",6.1
1926,"jan",5.7
1927,"jan",5.3
1928,"jan",5.8
1929,"jan",3
1930,"jan",5.3
1931,"jan",4.4
1932,"jan",7.9
1933,"jan",4.2
1934,"jan",6.5
1935,"jan",6
1936,"jan",3.5
1937,"jan",5.8
1938,"jan",6.1
1939,"jan",4
1940,"jan",1.7
1941,"jan",1.4
1942,"jan",3.1
1943,"jan",5
1944,"jan",6.7
1945,"jan",1.9
1946,"jan",4.8
1947,"jan",3.9
1948,"jan",4
1949,"jan",6.4
1950,"jan",5.8
1951,"jan",3.9
1952,"jan",2.9
1953,"jan",5.8
1954,"jan",4.6
1955,"jan",3.2
1956,"jan",4
1957,"jan",6.5
1958,"jan",4.5
1959,"jan",2.6
1960,"jan",4.8
1961,"jan",4.4
1962,"jan",5.4
1963,"jan",1.5
1964,"jan",6.1
1965,"jan",4
1966,"jan",3.7
1967,"jan",5.2
1968,"jan",5.1
1969,"jan",5.5
1970,"jan",4.2
1971,"jan",5.6
1972,"jan",4.6
1973,"jan",5.5
1974,"jan",6.8
1975,"jan",6.6
1976,"jan",5.9
1977,"jan",3.6
1978,"jan",3.8
1979,"jan",2
1980,"jan",3.3
1981,"jan",5.7
1982,"jan",3.9
1983,"jan",6.6
1984,"jan",3
1985,"jan",2.6
1986,"jan",3.8
1987,"jan",3
1988,"jan",5
1989,"jan",8.3
1990,"jan",6.7
1991,"jan",4.3
1992,"jan",6.2
1993,"jan",6.1
1994,"jan",5
1995,"jan",4.9
1996,"jan",5.4
1997,"jan",4.7
1998,"jan",5.9
1999,"jan",5.4
2000,"jan",6.5
2001,"jan",4
2002,"jan",7
2003,"jan",5.5
2004,"jan",5.8
2005,"jan",7.1
2006,"jan",6
2007,"jan",7.3
2008,"jan",6.2
2009,"jan",5.3
2010,"jan",3
2011,"jan",4.8
2012,"jan",5.8
2013,"jan",5
2014,"jan",5.8
2015,"jan",5.2
1910,"feb",5.1
1911,"feb",5.9
1912,"feb",5.4
1913,"feb",5.8
1914,"feb",7.1
1915,"feb",4.6
1916,"feb",4.1
1917,"feb",3.9
1918,"feb",6.9
1919,"feb",2.9
1920,"feb",6.9
1921,"feb",6.5
1922,"feb",5.1
1923,"feb",5
1924,"feb",5.1
1925,"feb",4.8
1926,"feb",6.4
1927,"feb",6.1
1928,"feb",6.5
1929,"feb",2.8
1930,"feb",3.6
1931,"feb",4.5
1932,"feb",6.4
1933,"feb",5
1934,"feb",7.2
1935,"feb",5.8
1936,"feb",4
1937,"feb",4.5
1938,"feb",6.2
1939,"feb",6.8
1940,"feb",3.9
1941,"feb",3.7
1942,"feb",3.1
1943,"feb",7.3
1944,"feb",5.3
1945,"feb",7.2
1946,"feb",6
1947,"feb",0.2
1948,"feb",5.7
1949,"feb",6.9
1950,"feb",5
1951,"feb",3.8
1952,"feb",5.1
1953,"feb",6.3
1954,"feb",3.6
1955,"feb",2
1956,"feb",3.4
1957,"feb",5.1
1958,"feb",4.6
1959,"feb",6.3
1960,"feb",4.2
1961,"feb",7.2
1962,"feb",6.1
1963,"feb",2.1
1964,"feb",5.7
1965,"feb",5.2
1966,"feb",4.2
1967,"feb",6.1
1968,"feb",3.1
1969,"feb",2.2
1970,"feb",3.4
1971,"feb",6.3
1972,"feb",5
1973,"feb",5.3
1974,"feb",6.1
1975,"feb",5.8
1976,"feb",5.8
1977,"feb",4.2
1978,"feb",3
1979,"feb",2.7
1980,"feb",5.7
1981,"feb",4.8
1982,"feb",6.3
1983,"feb",3.7
1984,"feb",5.3
1985,"feb",4.9
1986,"feb",1.7
1987,"feb",5.1
1988,"feb",5.4
1989,"feb",6.5
1990,"feb",6.6
1991,"feb",3.9
1992,"feb",6.9
1993,"feb",7
1994,"feb",3.7
1995,"feb",5.7
1996,"feb",4.4
1997,"feb",6.7
1998,"feb",8.7
1999,"feb",5.5
2000,"feb",6.4
2001,"feb",4.9
2002,"feb",6.4
2003,"feb",6
2004,"feb",6.3
2005,"feb",5.5
2006,"feb",5.9
2007,"feb",6.7
2008,"feb",7.7
2009,"feb",5.5
2010,"feb",3.5
2011,"feb",6.5
2012,"feb",7.1
2013,"feb",5.4
2014,"feb",6.2
2015,"feb",5.8
1910,"mar",7.9
1911,"mar",6.1
1912,"mar",7.5
1913,"mar",6.3
1914,"mar",6.3
1915,"mar",6.4
1916,"mar",3.7
1917,"mar",4.7
1918,"mar",6.9
1919,"mar",4.2
1920,"mar",7.3
1921,"mar",7.2
1922,"mar",6.6
1923,"mar",8.3
1924,"mar",5.5
1925,"mar",6.1
1926,"mar",7.4
1927,"mar",8.1
1928,"mar",6.1
1929,"mar",9.9
1930,"mar",5.5
1931,"mar",5.2
1932,"mar",6.7
1933,"mar",9
1934,"mar",6.2
1935,"mar",8.1
1936,"mar",7.4
1937,"mar",4
1938,"mar",9.9
1939,"mar",7.3
1940,"mar",6.8
1941,"mar",5.7
1942,"mar",5.9
1943,"mar",8.3
1944,"mar",7.1
1945,"mar",9.7
1946,"mar",7.2
1947,"mar",3.4
1948,"mar",10.2
1949,"mar",6.9
1950,"mar",8.6
1951,"mar",4.8
1952,"mar",7.4
1953,"mar",8.9
1954,"mar",6.6
1955,"mar",5.3
1956,"mar",7.7
1957,"mar",9.4
1958,"mar",4.2
1959,"mar",8.4
1960,"mar",7.1
1961,"mar",9.5
1962,"mar",4.3
1963,"mar",7.4
1964,"mar",5.7
1965,"mar",6.3
1966,"mar",7.7
1967,"mar",7.2
1968,"mar",7
1969,"mar",4.6
1970,"mar",5.3
1971,"mar",7
1972,"mar",7.4
1973,"mar",8.4
1974,"mar",6.8
1975,"mar",6
1976,"mar",6
1977,"mar",7.5
1978,"mar",7.1
1979,"mar",4.6
1980,"mar",5.3
1981,"mar",7.4
1982,"mar",7.1
1983,"mar",7.2
1984,"mar",5.7
1985,"mar",5.8
1986,"mar",6.7
1987,"mar",5.4
1988,"mar",6.6
1989,"mar",7.5
1990,"mar",8.6
1991,"mar",8.5
1992,"mar",7.4
1993,"mar",7.7
1994,"mar",6.6
1995,"mar",5.5
1996,"mar",5.4
1997,"mar",8.9
1998,"mar",8
1999,"mar",7.8
2000,"mar",8.5
2001,"mar",5.9
2002,"mar",8.3
2003,"mar",9.9
2004,"mar",8.2
2005,"mar",8.4
2006,"mar",5.4
2007,"mar",8.6
2008,"mar",6.8
2009,"mar",8.3
2010,"mar",7.4
2011,"mar",7.9
2012,"mar",10.9
2013,"mar",4.2
2014,"mar",8.6
2015,"mar",7.7
1910,"apr",7.7
1911,"apr",9
1912,"apr",10.9
1913,"apr",9.2
1914,"apr",11.8
1915,"apr",9.5
1916,"apr",9.3
1917,"apr",6.7
1918,"apr",9
1919,"apr",8.5
1920,"apr",8.4
1921,"apr",10.7
1922,"apr",7.5
1923,"apr",8.2
1924,"apr",8.6
1925,"apr",8.7
1926,"apr",10.7
1927,"apr",8.4
1928,"apr",9.4
1929,"apr",8.3
1930,"apr",9.4
1931,"apr",8.9
1932,"apr",8
1933,"apr",10.2
1934,"apr",8.2
1935,"apr",8.9
1936,"apr",8.5
1937,"apr",10
1938,"apr",10.2
1939,"apr",9.5
1940,"apr",9.2
1941,"apr",7.5
1942,"apr",11.2
1943,"apr",10.7
1944,"apr",11
1945,"apr",10.7
1946,"apr",11.1
1947,"apr",8.9
1948,"apr",10.4
1949,"apr",10.6
1950,"apr",8.3
1951,"apr",7.4
1952,"apr",11.2
1953,"apr",8.6
1954,"apr",10.2
1955,"apr",11.5
1956,"apr",9.1
1957,"apr",10.7
1958,"apr",9.2
1959,"apr",10.2
1960,"apr",10.8
1961,"apr",10.1
1962,"apr",9.4
1963,"apr",9.4
1964,"apr",9.9
1965,"apr",9.7
1966,"apr",7.1
1967,"apr",9.4
1968,"apr",9.8
1969,"apr",9
1970,"apr",7.8
1971,"apr",9.8
1972,"apr",9.8
1973,"apr",8.2
1974,"apr",11.4
1975,"apr",9.1
1976,"apr",9.8
1977,"apr",8
1978,"apr",7.8
1979,"apr",8.2
1980,"apr",10.7
1981,"apr",10.1
1982,"apr",10.3
1983,"apr",7.7
1984,"apr",10.7
1985,"apr",9.2
1986,"apr",7.2
1987,"apr",11
1988,"apr",9.4
1989,"apr",8
1990,"apr",9.7
1991,"apr",9.4
1992,"apr",9.1
1993,"apr",10
1994,"apr",8.9
1995,"apr",9.5
1996,"apr",9.8
1997,"apr",10.5
1998,"apr",8.4
1999,"apr",10.6
2000,"apr",8.9
2001,"apr",9
2002,"apr",10.9
2003,"apr",12.4
2004,"apr",10.7
2005,"apr",10.3
2006,"apr",9.5
2007,"apr",13.3
2008,"apr",9.5
2009,"apr",11.9
2010,"apr",10.7
2011,"apr",13.6
2012,"apr",8.6
2013,"apr",8.6
2014,"apr",11.5
2015,"apr",10.9
1910,"may",12.7
1911,"may",14.7
1912,"may",12.6
1913,"may",12.1
1914,"may",11.9
1915,"may",12.3
1916,"may",12
1917,"may",12.8
1918,"may",13.9
1919,"may",15.1
1920,"may",12.4
1921,"may",12.7
1922,"may",12.7
1923,"may",9.8
1924,"may",11
1925,"may",12
1926,"may",11.6
1927,"may",11.3
1928,"may",12.5
1929,"may",13.2
1930,"may",12.2
1931,"may",12.6
1932,"may",11.6
1933,"may",12.9
1934,"may",12.2
1935,"may",12.8
1936,"may",13.3
1937,"may",14
1938,"may",12
1939,"may",13.3
1940,"may",14.8
1941,"may",11.7
1942,"may",13
1943,"may",12.8
1944,"may",11.8
1945,"may",12.9
1946,"may",13.6
1947,"may",14
1948,"may",13.5
1949,"may",12.9
1950,"may",12.9
1951,"may",11.7
1952,"may",14.2
1953,"may",13.8
1954,"may",13
1955,"may",11.5
1956,"may",13.4
1957,"may",12.5
1958,"may",11.7
1959,"may",14.8
1960,"may",14.9
1961,"may",12.6
1962,"may",11.7
1963,"may",11.6
1964,"may",13.5
1965,"may",12
1966,"may",12.5
1967,"may",10.9
1968,"may",10.4
1969,"may",11.6
1970,"may",13.2
1971,"may",13.5
1972,"may",12.1
1973,"may",11.9
1974,"may",12.6
1975,"may",11.5
1976,"may",12.4
1977,"may",12.5
1978,"may",14.2
1979,"may",10.5
1980,"may",14.1
1981,"may",13.5
1982,"may",13.3
1983,"may",10.8
1984,"may",13
1985,"may",12.3
1986,"may",11.9
1987,"may",11.7
1988,"may",13.5
1989,"may",13.6
1990,"may",14.1
1991,"may",12.8
1992,"may",14.9
1993,"may",12.1
1994,"may",12.2
1995,"may",12.5
1996,"may",10.7
1997,"may",12.6
1998,"may",13.6
1999,"may",13.3
2000,"may",14.1
2001,"may",15
2002,"may",13.5
2003,"may",12.9
2004,"may",14.2
2005,"may",12.3
2006,"may",13.2
2007,"may",12.8
2008,"may",15.3
2009,"may",13.7
2010,"may",12.8
2011,"may",13.1
2012,"may",13.3
2013,"may",12.4
2014,"may",13.5
2015,"may",11.2
1910,"jun",16
1911,"jun",16
1912,"jun",14.1
1913,"jun",15.2
1914,"jun",16
1915,"jun",16.1
1916,"jun",13.1
1917,"jun",15.4
1918,"jun",14.9
1919,"jun",14.5
1920,"jun",15.9
1921,"jun",15.8
1922,"jun",14.2
1923,"jun",13.4
1924,"jun",14.1
